dataset,feature_set,model,k_pct,auc_mean,auc_std,ap_mean,P_mean,P_std,R_mean,R_std,DOR_mean,DOR_std
v0_baseline,BIBLIO+DEBATE25,GBT,30,0.7479203940689347,0.01582785013784651,0.3155472834710539,0.2564553990610329,0.010411281787828838,0.617231638418079,0.02505766125206263,4.727949444530832,0.5866042907972525
v0_baseline,BIBLIO+DEBATE25,LogReg,1,0.7324767706014377,0.01633591330675053,0.2804511426586835,0.5,0.11342617456312011,0.04237288135593221,0.009612387674840689,8.213423175523246,5.0417574815054556
v0_baseline,BIBLIO+DEBATE25,LogReg,5,0.7324767706014377,0.01633591330675053,0.2804511426586835,0.3528169014084507,0.04557606465488757,0.14152542372881355,0.018281924240096146,4.391659436031668,0.966857641424959
v0_baseline,BIBLIO+DEBATE25,LogReg,10,0.7324767706014377,0.01633591330675053,0.2804511426586835,0.3154929577464789,0.02245631109920923,0.25310734463276835,0.01801579760501531,4.0237378513258255,0.5147748874373821
v0_baseline,BIBLIO+DEBATE25,LogReg,15,0.7324767706014377,0.01633591330675053,0.2804511426586835,0.3061032863849765,0.022417533119837234,0.36836158192090396,0.026977031381499015,4.3570108454780785,0.6631267147607927
v0_baseline,BIBLIO+DEBATE25,LogReg,20,0.7324767706014377,0.01633591330675053,0.2804511426586835,0.2867957746478873,0.018613655512011967,0.4601694915254237,0.0298659783356576,4.410730374301005,0.6451837957696067
v0_baseline,BIBLIO+DEBATE25,LogReg,25,0.7324767706014377,0.01633591330675053,0.2804511426586835,0.2628169014084507,0.014190851306695335,0.5271186440677966,0.02846187691455846,4.202693658575738,0.5784161793108548
v0_baseline,BIBLIO+DEBATE25,LogReg,30,0.7324767706014377,0.01633591330675053,0.2804511426586835,0.24401408450704226,0.01207747109221582,0.5872881355932204,0.029067811781265235,4.091608214873494,0.5744442877218441
v0_baseline,BIBLIO+DEBATE25,RF,1,0.7515667609045011,0.01759218316244581,0.32570369851275915,0.6166666666666666,0.11212983285105119,0.05225988700564972,0.009502528207716203,13.830275605900695,9.81529245338094
v0_baseline,BIBLIO+DEBATE25,RF,5,0.7515667609045011,0.01759218316244581,0.32570369851275915,0.4176056338028169,0.05545546667157909,0.16751412429378532,0.02224484821289331,6.009368995132261,1.522641994029748
v0_baseline,BIBLIO+DEBATE25,RF,10,0.7515667609045011,0.01759218316244581,0.32570369851275915,0.3658450704225352,0.028762738522685228,0.2935028248587571,0.023075191357182518,5.370037141491247,0.8767876292251744
