dataset,feature_set,model,T_pct,P_mean,P_std,R_mean,R_std,F1_mean,F1_std,DOR_mean,DOR_std
v0_baseline,FOCAL6,RF,5,0.202112676056338,0.03174979970436495,0.08107344632768362,0.012735795361637913,0.1157258064516129,0.01817932079846702,1.9063787779142267,0.3917457349941642
v0_baseline,FOCAL6,RF,10,0.1767605633802817,0.025636735224381733,0.14180790960451978,0.02056732430430625,0.1573667711598746,0.022823927284402544,1.6259445394901468,0.33569838875298275
v0_baseline,FOCAL6,RF,15,0.16502347417840374,0.015479473881655905,0.19858757062146892,0.01862784145080627,0.18025641025641026,0.01690834839380877,1.5015149990059304,0.20615618124316282
v0_baseline,FOCAL6,RF,20,0.1637323943661972,0.01778999101656299,0.2627118644067797,0.02854439236555871,0.20173535791757052,0.021919121252511452,1.527608378707734,0.2546492187303171
v0_baseline,FOCAL6,SVM,5,0.14788732394366197,0.03809537481847175,0.05932203389830508,0.015281195548652508,0.08467741935483872,0.021812674291221728,1.2973869633930262,0.38769709707689365
v0_baseline,FOCAL6,SVM,10,0.13661971830985914,0.026782013174025614,0.10960451977401131,0.021486134862777617,0.12163009404388714,0.02384354777875635,1.1588269179474522,0.2849496715526851
v0_baseline,FOCAL6,SVM,15,0.1323943661971831,0.0198951907466016,0.15932203389830507,0.023941670220486676,0.14461538461538462,0.021731669892441758,1.106875604798169,0.21974201698567714
v0_baseline,FOCAL6,SVM,20,0.12922535211267605,0.012309373999155195,0.2073446327683616,0.019750633987345063,0.15921908893709327,0.015166430437137,1.0653456216734505,0.14479022643743036
v0_baseline,FOCAL6,XGB,5,0.15985915492957745,0.039116299453137514,0.06412429378531073,0.01569071898967663,0.09153225806451612,0.022397235977199708,1.426005926606995,0.41826614484599656
v0_baseline,FOCAL6,XGB,10,0.14577464788732394,0.023645286926926714,0.11694915254237288,0.01896966521821238,0.12978056426332288,0.021050976449050733,1.2554843213773252,0.2610144150572452
v0_baseline,FOCAL6,XGB,15,0.13990610328638498,0.021573671339444288,0.16836158192090395,0.025961536696619398,0.15282051282051282,0.023565087155393006,1.1953129483464409,0.25717178054985756
v0_baseline,FOCAL6,XGB,20,0.136443661971831,0.01697825838202985,0.2189265536723164,0.02724195130223999,0.1681127982646421,0.020918982127967375,1.157405923424262,0.2074511125846999
v2a_y_anchored,BIBLIO,FFN,5,0.35774647887323946,0.04532913147255263,0.14350282485875707,0.01818287194661717,0.20483870967741935,0.02595458334315513,4.501057760589271,1.0431538240209783
v2a_y_anchored,BIBLIO,FFN,10,0.3214788732394366,0.029105540042862806,0.257909604519774,0.023350207266025522,0.28620689655172415,0.02591214223251735,4.182812875925362,0.6863567501496473
v2a_y_anchored,BIBLIO,FFN,15,0.2915492957746479,0.02263895894272406,0.35084745762711866,0.027243492964973026,0.31846153846153846,0.024728708998975522,3.9468959174774363,0.6196689182722401
v2a_y_anchored,BIBLIO,FFN,20,0.2686619718309859,0.01647995029204676,0.43107344632768363,0.026442406118312313,0.33101952277657265,0.020305014676534828,3.798782054549394,0.512566560926963
v2a_y_anchored,BIBLIO,GBT,5,0.4323943661971831,0.034530105301697166,0.17344632768361581,0.01385105918881638,0.24758064516129036,0.019771269971133078,6.32131962564582,0.9411199188776453
v2a_y_anchored,BIBLIO,GBT,10,0.3640845070422535,0.02555515431673095,0.292090395480226,0.02050187521455254,0.3241379310344828,0.02275129726003635,5.303954129433035,0.7274447056038919
v2a_y_anchored,BIBLIO,GBT,15,0.32300469483568073,0.023380093141762873,0.3887005649717514,0.028135366323138383,0.3528205128205128,0.025538255585617908,4.886398451518344,0.756903357105028
v2a_y_anchored,BIBLIO,GBT,20,0.2971830985915493,0.017822972797714824,0.4768361581920904,0.028597312285598947,0.3661605206073753,0.02195975824100222,4.796442038210092,0.7100078024746522
v2a_y_anchored,BIBLIO,LogReg,5,0.35985915492957743,0.04824680837334015,0.14435028248587572,0.019353239516989546,0.2060483870967742,0.027625188665380235,4.549232768520534,1.0012097464548928
v2a_y_anchored,BIBLIO,LogReg,10,0.3232394366197183,0.03456788028870872,0.2593220338983051,0.02773242373444428,0.2877742946708464,0.030775166150449142,4.242389315424316,0.8018875562295432
v2a_y_anchored,BIBLIO,LogReg,15,0.2955399061032864,0.019295777653928637,0.35564971751412433,0.023220342600490402,0.32282051282051283,0.02107692636044511,4.043963840217628,0.5150570711421234
v2a_y_anchored,BIBLIO,LogReg,20,0.2776408450704225,0.019927508032339513,0.44548022598870063,0.03197408068465775,0.3420824295010846,0.024552764777372765,4.101192535427659,0.6486000634303575
v2a_y_anchored,BIBLIO,RF,5,0.4302816901408451,0.05396696982461464,0.17259887005649718,0.021647767556766326,0.2463709677419355,0.030900442399577736,6.355167534226416,1.4942868925350126
v2a_y_anchored,BIBLIO,RF,10,0.36795774647887325,0.02480622655823384,0.2951977401129944,0.01990104051564524,0.3275862068965517,0.022084540258741108,5.4161110195155855,0.71791991541836
v2a_y_anchored,BIBLIO,RF,15,0.3262910798122066,0.020689823183028706,0.3926553672316384,0.024897922813475217,0.3564102564102564,0.02259965301530827,4.984381149309864,0.6964444304611901
v2a_y_anchored,BIBLIO,RF,20,0.30017605633802813,0.016901215405371456,0.481638418079096,0.027118334322742917,0.36984815618221256,0.020824057158895858,4.91114838023568,0.7237789366956638
v2a_y_anchored,BIBLIO,SVM,5,0.3140845070422535,0.047510838547560635,0.12598870056497175,0.01905801998235483,0.17983870967741936,0.02720378658771616,3.633519344217928,0.8895765520090161
v2a_y_anchored,BIBLIO,SVM,10,0.2545774647887324,0.033131696454815035,0.20423728813559322,0.02658023105414539,0.22664576802507835,0.02949655734535257,2.809444518584115,0.589301265295913
v2a_y_anchored,BIBLIO,SVM,15,0.2356807511737089,0.027017051650641156,0.28361581920903955,0.03251204520670376,0.25743589743589745,0.029510933341469574,2.668157194517481,0.5211290758845523
v2a_y_anchored,BIBLIO,SVM,20,0.22464788732394364,0.020423174244238996,0.36045197740112994,0.03276938692295976,0.2767895878524945,0.025163477159930038,2.647995925502862,0.4514594786832739
v2a_y_anchored,BIBLIO,XGB,5,0.4232394366197183,0.053966969824614644,0.16977401129943503,0.021647767556766326,0.24233870967741936,0.03090044239957774,6.149446707584359,1.413364041780768
v2a_y_anchored,BIBLIO,XGB,10,0.351056338028169,0.02919508198657939,0.28163841807909606,0.02342204317567387,0.31253918495297806,0.025991859825042464,4.946280488359324,0.8006242668887371
v2a_y_anchored,BIBLIO,XGB,15,0.3016431924882629,0.025709034259900135,0.36299435028248583,0.030937990380557792,0.32948717948717954,0.028082175883890923,4.24023663314756,0.7455467732923724
v2a_y_anchored,BIBLIO,XGB,20,0.27359154929577467,0.02455770858956267,0.4389830508474576,0.039403329036360464,0.33709327548806944,0.030257653967183516,3.993590587893691,0.7977903459959609
v2a_y_anchored,BIBLIO+FOCAL6,FFN,5,0.3197183098591549,0.04525997943919416,0.12824858757062146,0.01815513299538298,0.18306451612903224,0.025914988227280538,3.7292687025047178,0.8330368979169297
v2a_y_anchored,BIBLIO+FOCAL6,FFN,10,0.2908450704225352,0.026655014037369387,0.23333333333333334,0.021384248549753973,0.2589341692789969,0.02373048271665489,3.4923694713977276,0.5762822751380524
v2a_y_anchored,BIBLIO+FOCAL6,FFN,15,0.26948356807511736,0.02225132112832115,0.3242937853107345,0.02677701356120003,0.2943589743589744,0.024305289232473878,3.386032008116789,0.5321040335045829
v2a_y_anchored,BIBLIO+FOCAL6,FFN,20,0.2535211267605634,0.021188444667096303,0.4067796610169491,0.03399727844890028,0.3123644251626898,0.026106370001975496,3.3741061315842473,0.6063693905342575
v2a_y_anchored,BIBLIO+FOCAL6,GBT,5,0.4309859154929577,0.05198128207431836,0.17288135593220338,0.02085124874167573,0.2467741935483871,0.029763476026424228,6.366228120234853,1.4707590396998844
