dataset,field,feature_set,model,n_test_mean,n_pos_mean,auc_mean,auc_std,P_mean,P_std,R_mean,R_std,DOR_mean,DOR_std
v2a_y_anchored,09,BIBLIO+DEBATE25,LogReg,427.7,40.7,0.6868818656798423,0.04164982146540374,0.20603621544304423,0.04751547392695709,0.22059327289192385,0.05414680240668511,3.108720502209481,1.1076505512926815
v2a_y_anchored,09,BIBLIO+DEBATE25,RF,427.7,40.7,0.6947395765366802,0.037115231390564905,0.23359170946935132,0.039196011134599,0.2487873339493135,0.04121537779646295,3.6925085442652685,0.9940323849066195
v2a_y_anchored,09,BIBLIO+DEBATE5,GBT,427.7,40.7,0.6930023550243742,0.03468752000522578,0.2363863081479422,0.041059085756005254,0.2528561938007213,0.04913977172247037,3.8146405310745295,1.1671153425694536
v2a_y_anchored,09,BIBLIO+DEBATE5,LogReg,427.7,40.7,0.6889537752314141,0.0407932862040302,0.20243095334712882,0.04268987381522579,0.21744008790842587,0.05323685254635532,3.0328709901242896,1.0777843605064095
v2a_y_anchored,09,BIBLIO+DEBATE5,RF,427.7,40.7,0.6925932243051897,0.04045698736119105,0.24432132055717098,0.04256248679474405,0.2596498174790395,0.04108354079580936,3.9604510972890155,1.0040909447422073
v2a_y_anchored,12,BIBLIO,GBT,26.3,7.35,0.871226449925316,0.05353358898450764,0.85,0.19421456754222646,0.37890873015873017,0.16091810126626432,23.392974432974434,21.003559670570606
v2a_y_anchored,12,BIBLIO,LogReg,26.3,7.35,0.858895781172383,0.07198698276948688,0.6083333333333333,0.21814609622508863,0.256984126984127,0.10353812637381823,8.386437249025485,14.240139781532905
v2a_y_anchored,12,BIBLIO,RF,26.3,7.35,0.8855615501797525,0.059094867762912846,0.875,0.17832062587943967,0.3809920634920635,0.13250609257249074,21.78966958966959,15.726816456574872
v2a_y_anchored,12,BIBLIO+DEBATE25,GBT,26.3,7.35,0.898116944582628,0.04443435154460157,0.9,0.15672078199387576,0.3877380952380952,0.11984700285600491,22.034114034114033,14.93903934252611
v2a_y_anchored,12,BIBLIO+DEBATE25,LogReg,26.3,7.35,0.8539047801899968,0.08364837621770113,0.6416666666666666,0.28369430050734346,0.2658134920634921,0.1029246598998207,7.943474792837021,6.520892082311373
