dataset,feature_set,model,seed,T_pct,auroc,auprc,precision,recall,f1,DOR,TP,FP,TN,FN,k
v0_baseline,FOCAL6,SVM,0,10,0.47321961057466877,0.1276847283757754,0.1619718309859155,0.12994350282485875,0.14420062695924762,1.4287551962735778,23,119,1122,154,142
v0_baseline,FOCAL6,SVM,0,15,0.47321961057466877,0.1276847283757754,0.14553990610328638,0.1751412429378531,0.15897435897435896,1.2482771518070035,31,182,1059,146,213
v0_baseline,FOCAL6,SVM,0,20,0.47321961057466877,0.1276847283757754,0.1267605633802817,0.2033898305084746,0.1561822125813449,1.0312831049903661,36,248,993,141,284
v0_baseline,FOCAL6,FFN,0,5,0.5750192345338414,0.17397220064117372,0.19718309859154928,0.07909604519774012,0.11290322580645161,1.8269113149847094,14,57,1184,163,71
v0_baseline,FOCAL6,FFN,0,10,0.5750192345338414,0.17397220064117372,0.2112676056338028,0.1694915254237288,0.18808777429467083,2.0760677966101695,30,112,1129,147,142
v0_baseline,FOCAL6,FFN,0,15,0.5750192345338414,0.17397220064117372,0.20187793427230047,0.24293785310734464,0.22051282051282053,2.032519704782566,43,170,1071,134,213
v0_baseline,FOCAL6,FFN,0,20,0.5750192345338414,0.17397220064117372,0.176056338028169,0.2824858757062147,0.21691973969631237,1.7017015761528491,50,234,1007,127,284
v0_baseline,BIBLIO+FOCAL6,LogReg,0,5,0.746240729865199,0.3105741542412033,0.38028169014084506,0.15254237288135594,0.21774193548387097,4.917130165366382,27,44,1197,150,71
v0_baseline,BIBLIO+FOCAL6,LogReg,0,10,0.746240729865199,0.3105741542412033,0.31690140845070425,0.2542372881355932,0.2821316614420063,4.030943396226415,45,97,1144,132,142
v0_baseline,BIBLIO+FOCAL6,LogReg,0,15,0.746240729865199,0.3105741542412033,0.3004694835680751,0.3615819209039548,0.3282051282051282,4.15282954930532,64,149,1092,113,213
v0_baseline,BIBLIO+FOCAL6,LogReg,0,20,0.746240729865199,0.3105741542412033,0.2887323943661972,0.4632768361581921,0.35574837310195234,4.43455497382199,82,202,1039,95,284
