subset_id,subset_label,subset_size,k_pct,Precision_mean,Precision_std,Recall_mean,Recall_std,DOR_mean,DOR_std,n_obs
36,cross_domain_attack+var_conf_pro+semantic_coherence,3,10,0.33498,0.04746,0.26874,0.03808,4.59318,1.13476,30
36,cross_domain_attack+var_conf_pro+semantic_coherence,3,15,0.29984,0.03733,0.36083,0.04492,4.24509,1.01777,30
36,cross_domain_attack+var_conf_pro+semantic_coherence,3,20,0.27653,0.03232,0.44369,0.05186,4.13865,1.00235,30
37,cross_domain_attack+var_conf_pro+prediction_volatility,3,5,0.38075,0.07262,0.15273,0.02913,5.17692,1.89086,30
37,cross_domain_attack+var_conf_pro+prediction_volatility,3,10,0.32512,0.04994,0.26083,0.04006,4.36955,1.30485,30
37,cross_domain_attack+var_conf_pro+prediction_volatility,3,15,0.29624,0.04154,0.3565,0.04999,4.16648,1.09428,30
37,cross_domain_attack+var_conf_pro+prediction_volatility,3,20,0.2757,0.03316,0.44237,0.05321,4.11472,0.99605,30
38,cross_domain_attack+H_final+delta_H,3,5,0.37559,0.0705,0.15066,0.02828,5.03176,1.73079,30
38,cross_domain_attack+H_final+delta_H,3,10,0.32535,0.05137,0.26102,0.04121,4.37583,1.25032,30
38,cross_domain_attack+H_final+delta_H,3,15,0.29656,0.03653,0.35687,0.04397,4.14797,0.99148,30
38,cross_domain_attack+H_final+delta_H,3,20,0.2723,0.02791,0.43691,0.04479,3.97195,0.87579,30
39,cross_domain_attack+H_final+semantic_coherence,3,5,0.40141,0.07605,0.16102,0.03051,5.72496,2.09386,30
39,cross_domain_attack+H_final+semantic_coherence,3,10,0.33333,0.04873,0.26742,0.0391,4.56999,1.29685,30
39,cross_domain_attack+H_final+semantic_coherence,3,15,0.2989,0.03925,0.3597,0.04723,4.23447,1.11992,30
39,cross_domain_attack+H_final+semantic_coherence,3,20,0.275,0.02972,0.44124,0.04769,4.07196,0.94174,30
40,cross_domain_attack+H_final+prediction_volatility,3,5,0.37277,0.0756,0.14953,0.03032,4.9941,1.80516,30
40,cross_domain_attack+H_final+prediction_volatility,3,10,0.31502,0.05631,0.25273,0.04517,4.15501,1.35122,30
40,cross_domain_attack+H_final+prediction_volatility,3,15,0.29171,0.04066,0.35104,0.04893,4.03866,1.09423,30
40,cross_domain_attack+H_final+prediction_volatility,3,20,0.27148,0.03216,0.43559,0.0516,3.97294,0.98442,30
41,cross_domain_attack+delta_H+semantic_coherence,3,5,0.39061,0.07229,0.15669,0.029,5.41441,1.88558,30
41,cross_domain_attack+delta_H+semantic_coherence,3,10,0.33099,0.04556,0.26554,0.03655,4.4922,1.20088,30
41,cross_domain_attack+delta_H+semantic_coherence,3,15,0.30141,0.03837,0.36271,0.04617,4.30146,1.10652,30
41,cross_domain_attack+delta_H+semantic_coherence,3,20,0.27817,0.02878,0.44633,0.04619,4.16992,0.91637,30
42,cross_domain_attack+delta_H+prediction_volatility,3,5,0.38545,0.07798,0.15461,0.03128,5.33276,2.06213,30
42,cross_domain_attack+delta_H+prediction_volatility,3,10,0.3223,0.05532,0.25857,0.04438,4.32784,1.38199,30
42,cross_domain_attack+delta_H+prediction_volatility,3,15,0.29405,0.0414,0.35386,0.04982,4.11048,1.15439,30
42,cross_domain_attack+delta_H+prediction_volatility,3,20,0.27242,0.02756,0.4371,0.04422,3.97233,0.85193,30
43,cross_domain_attack+semantic_coherence+prediction_volatility,3,5,0.39531,0.07516,0.15857,0.03015,5.55687,2.00624,30
43,cross_domain_attack+semantic_coherence+prediction_volatility,3,10,0.34272,0.05229,0.27495,0.04195,4.83608,1.39997,30
