subset_id,subset_label,subset_size,k_pct,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,DOR_mean,DOR_std,n_obs
30,cross_domain_attack+H_final+semantic_coherence,3,10,0.33063,0.04832,0.26525,0.03876,0.29436,0.04302,4.4964,1.21386,120
30,cross_domain_attack+H_final+semantic_coherence,3,15,0.298,0.03887,0.35862,0.04678,0.32551,0.04246,4.20582,1.0648,120
30,cross_domain_attack+H_final+semantic_coherence,3,20,0.27482,0.02922,0.44096,0.04688,0.33861,0.036,4.06441,0.91781,120
31,cross_domain_attack+delta_H+semantic_coherence,3,5,0.39061,0.0689,0.15669,0.02764,0.22366,0.03945,5.39586,1.78704,120
31,cross_domain_attack+delta_H+semantic_coherence,3,10,0.3311,0.0445,0.26563,0.0357,0.29478,0.03962,4.48862,1.12989,120
31,cross_domain_attack+delta_H+semantic_coherence,3,15,0.2998,0.03697,0.36078,0.04449,0.32748,0.04038,4.24615,1.0251,120
31,cross_domain_attack+delta_H+semantic_coherence,3,20,0.2767,0.02828,0.44397,0.04537,0.34093,0.03484,4.11935,0.8886,120
32,conf_gap_change+var_conf_pro+H_final,3,5,0.37688,0.07345,0.15118,0.02946,0.21579,0.04205,5.07798,1.73062,120
32,conf_gap_change+var_conf_pro+H_final,3,10,0.32371,0.04822,0.2597,0.03869,0.28819,0.04293,4.32174,1.17438,120
32,conf_gap_change+var_conf_pro+H_final,3,15,0.29116,0.03816,0.35038,0.04592,0.31803,0.04168,4.00933,1.00446,120
32,conf_gap_change+var_conf_pro+H_final,3,20,0.27121,0.02927,0.43517,0.04696,0.33416,0.03606,3.94635,0.89072,120
33,conf_gap_change+var_conf_pro+delta_H,3,5,0.36925,0.07138,0.14812,0.02863,0.21142,0.04087,4.89091,1.69216,120
33,conf_gap_change+var_conf_pro+delta_H,3,10,0.31743,0.0469,0.25466,0.03763,0.2826,0.04176,4.16378,1.12982,120
33,conf_gap_change+var_conf_pro+delta_H,3,15,0.28775,0.03615,0.34628,0.0435,0.31432,0.03949,3.90534,0.93148,120
33,conf_gap_change+var_conf_pro+delta_H,3,20,0.27089,0.02918,0.43465,0.04682,0.33377,0.03595,3.93581,0.89349,120
34,conf_gap_change+var_conf_pro+semantic_coherence,3,5,0.37946,0.07805,0.15221,0.03131,0.21727,0.04469,5.18266,1.9507,120
34,conf_gap_change+var_conf_pro+semantic_coherence,3,10,0.32377,0.04898,0.25975,0.0393,0.28824,0.04361,4.32715,1.192,120
34,conf_gap_change+var_conf_pro+semantic_coherence,3,15,0.29382,0.03812,0.35358,0.04587,0.32094,0.04164,4.08365,1.0308,120
34,conf_gap_change+var_conf_pro+semantic_coherence,3,20,0.27212,0.03121,0.43663,0.05008,0.33529,0.03846,3.99169,0.98196,120
35,conf_gap_change+H_final+delta_H,3,5,0.36761,0.07115,0.14746,0.02854,0.21048,0.04074,4.84903,1.65882,120
35,conf_gap_change+H_final+delta_H,3,10,0.31831,0.04649,0.25537,0.0373,0.28339,0.04139,4.18089,1.10113,120
35,conf_gap_change+H_final+delta_H,3,15,0.2883,0.0354,0.34694,0.0426,0.31491,0.03867,3.91518,0.90364,120
35,conf_gap_change+H_final+delta_H,3,20,0.26869,0.02778,0.43112,0.04458,0.33106,0.03423,3.85656,0.83373,120
36,conf_gap_change+H_final+semantic_coherence,3,5,0.38979,0.07608,0.15636,0.03052,0.22319,0.04356,5.42141,1.93904,120
36,conf_gap_change+H_final+semantic_coherence,3,10,0.32752,0.04946,0.26276,0.03968,0.29159,0.04403,4.42381,1.22634,120
36,conf_gap_change+H_final+semantic_coherence,3,15,0.29441,0.03641,0.35428,0.04381,0.32158,0.03977,4.09055,0.99329,120
36,conf_gap_change+H_final+semantic_coherence,3,20,0.27251,0.02902,0.43724,0.04656,0.33576,0.03575,3.98789,0.90841,120
37,conf_gap_change+delta_H+semantic_coherence,3,5,0.38028,0.06979,0.15254,0.028,0.21774,0.03996,5.14545,1.73998,120
37,conf_gap_change+delta_H+semantic_coherence,3,10,0.32523,0.04609,0.26092,0.03698,0.28955,0.04104,4.34785,1.12629,120
