T_pct,seed,feature,mean_abs_shap
5,4,MF_other,0.07610957324504852
5,4,var_conf_pro,0.25612711906433105
5,4,H_final,0.6059595942497253
5,4,delta_H,0.5171314477920532
5,4,conf_gap_change,0.3426724672317505
5,4,cross_domain_attack,0.3618381917476654
5,4,semantic_coherence,0.536281168460846
5,5,CTO,0.37523552775382996
5,5,STO,0.4226492941379547
5,5,PK,0.7907156348228455
5,5,SK,0.2709897458553314
5,5,TCT,0.7279840707778931
5,5,TS,0.5697423219680786
5,5,NC,0.266960084438324
5,5,COL,0.01400048192590475
5,5,INV,0.231402188539505
5,5,TKH,0.31043392419815063
5,5,CKH,0.45171985030174255
5,5,PKH,0.3148233890533447
5,5,TTS,0.2507314682006836
5,5,CTS,0.45418399572372437
5,5,PTS,0.44908586144447327
5,5,MF_F02D41,0.12734994292259216
5,5,MF_F02B33,0.04214018955826759
5,5,MF_F02D23,0.048705220222473145
5,5,MF_F02B37,0.07862347364425659
5,5,MF_F02M25,0.042904388159513474
5,5,MF_F01N3,0.0
5,5,MF_F02M37,0.027616232633590698
5,5,MF_F02N11,0.0054171886295080185
5,5,MF_B60K6,0.006719197612255812
5,5,MF_F01L1,0.006446741987019777
5,5,MF_other,0.0608891099691391
5,5,var_conf_pro,0.23993398249149323
5,5,H_final,0.45575278997421265
5,5,delta_H,0.47329410910606384
5,5,conf_gap_change,0.3867969214916229
5,5,cross_domain_attack,0.3556552231311798
5,5,semantic_coherence,0.5111806988716125
5,6,CTO,0.35331490635871887
5,6,STO,0.42577019333839417
5,6,PK,0.62516850233078
5,6,SK,0.353761225938797
5,6,TCT,0.8671109676361084
5,6,TS,0.3742421269416809
5,6,NC,0.3154248893260956
5,6,COL,0.002845976036041975
5,6,INV,0.17604589462280273
5,6,TKH,0.2653316855430603
5,6,CKH,0.5675426125526428
5,6,PKH,0.27106842398643494
5,6,TTS,0.23589806258678436
5,6,CTS,0.4235871732234955
5,6,PTS,0.3310585916042328
5,6,MF_F02D41,0.09532474726438522
5,6,MF_F02B33,0.056894488632678986
5,6,MF_F02D23,0.07499852031469345
5,6,MF_F02B37,0.05436307191848755
5,6,MF_F02M25,0.052018921822309494
5,6,MF_F01N3,0.0
5,6,MF_F02M37,0.01927977241575718
5,6,MF_F02N11,0.0
5,6,MF_B60K6,0.0
5,6,MF_F01L1,0.0021403187420219183
5,6,MF_other,0.08446303755044937
5,6,var_conf_pro,0.35362836718559265
5,6,H_final,0.45647406578063965
5,6,delta_H,0.4478670358657837
5,6,conf_gap_change,0.48832204937934875
5,6,cross_domain_attack,0.31815290451049805
5,6,semantic_coherence,0.5159449577331543
5,7,CTO,0.31562402844429016
5,7,STO,0.40608248114585876
5,7,PK,0.6067333221435547
5,7,SK,0.3163451552391052
5,7,TCT,0.7549075484275818
5,7,TS,0.37554076313972473
5,7,NC,0.3013724088668823
5,7,COL,0.0309955645352602
5,7,INV,0.17403219640254974
5,7,TKH,0.24921631813049316
5,7,CKH,0.5383026003837585
5,7,PKH,0.32469433546066284
5,7,TTS,0.2668794095516205
5,7,CTS,0.518279492855072
5,7,PTS,0.316992849111557
5,7,MF_F02D41,0.06957004219293594
5,7,MF_F02B33,0.028430229052901268
5,7,MF_F02D23,0.06259246170520782
5,7,MF_F02B37,0.08289860934019089
5,7,MF_F02M25,0.08150909841060638
5,7,MF_F01N3,0.0
5,7,MF_F02M37,0.019061680883169174
5,7,MF_B60K6,0.0
5,7,MF_F02N11,0.0019723214209079742
5,7,MF_F01L1,0.0
5,7,MF_other,0.05851759761571884
5,7,var_conf_pro,0.3471800982952118
5,7,H_final,0.5432364344596863
5,7,delta_H,0.45157530903816223
5,7,conf_gap_change,0.39835405349731445
5,7,cross_domain_attack,0.3036988079547882
5,7,semantic_coherence,0.5610589385032654
5,8,CTO,0.3577089309692383
5,8,STO,0.4080755412578583
