AUROC,AUPRC,Precision,Recall,F1,Accuracy,DOR,TP,FP,FN,TN,field,T_pct,Y_rate_pct,seed,config,model,n_train,n_test,Y_pos_train,Y_pos_test
0.7693311142098871,0.22735611833766584,0.32142857142857145,0.20930232558139536,0.2535211267605634,0.9053571428571429,7.039390561129691,9,19,34,498,01,5,7.65,6,BIBLIO,GBT,2236,560,171,43
0.7377985695650218,0.19332563774184464,0.21428571428571427,0.13953488372093023,0.16901408450704225,0.8946428571428572,3.8171851851851852,6,22,37,495,01,5,7.65,6,BIBLIO,XGB,2236,560,171,43
0.7368989249246547,0.14504741787094386,0.10714285714285714,0.06976744186046512,0.08450704225352113,0.8839285714285714,1.6690873880416364,3,25,40,492,01,5,7.65,6,BIBLIO,LogReg,2236,560,171,43
0.6562008006837299,0.15412046507269817,0.14285714285714285,0.09302325581395349,0.11267605633802817,0.8875,2.294755877034358,4,24,39,493,01,5,7.65,6,BIBLIO,SVM,2236,560,171,43
0.7139130043632764,0.18108204628357738,0.21428571428571427,0.13953488372093023,0.16901408450704225,0.8946428571428572,3.8171851851851852,6,22,37,495,01,5,7.65,6,BIBLIO,FFN,2236,560,171,43
0.752485268319014,0.18555151480669163,0.25,0.16279069767441862,0.19718309859154928,0.8982142857142857,4.745141764893278,7,21,36,496,01,5,7.65,6,+6focal,RF,2236,560,171,43
0.7681165939453916,0.17853970568446556,0.14285714285714285,0.09302325581395349,0.11267605633802817,0.8875,2.294755877034358,4,24,39,493,01,5,7.65,6,+6focal,GBT,2236,560,171,43
0.7782375961495209,0.1879007585494444,0.21428571428571427,0.13953488372093023,0.16901408450704225,0.8946428571428572,3.8171851851851852,6,22,37,495,01,5,7.65,6,+6focal,XGB,2236,560,171,43
0.7340650443074985,0.14112368002004874,0.07142857142857142,0.046511627906976744,0.056338028169014086,0.8803571428571428,1.1172993862241418,2,26,41,491,01,5,7.65,6,+6focal,LogReg,2236,560,171,43
0.6757680716117134,0.1325182643933642,0.14285714285714285,0.09302325581395349,0.11267605633802817,0.8875,2.294755877034358,4,24,39,493,01,5,7.65,6,+6focal,SVM,2236,560,171,43
0.6946606090594215,0.13231535955128804,0.14285714285714285,0.09302325581395349,0.11267605633802817,0.8875,2.294755877034358,4,24,39,493,01,5,7.65,6,+6focal,FFN,2236,560,171,43
