subset_id,subset_label,subset_size,seed,model,AUROC,AUPRC
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,16,XGB,0.7510937507113364,0.33707358074749083
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,17,RF,0.7654661586018202,0.3506410028348882
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,17,LogReg,0.7362706401343914,0.28106772144130526
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,17,GBT,0.7445744956910092,0.3085494470305489
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,17,SVM,0.6586769372248551,0.20762280043697523
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,17,FFN,0.7007607315041178,0.254992653809083
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,17,XGB,0.7458537629121766,0.3264424045806864
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,18,RF,0.7320481477940607,0.3389008541050828
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,18,LogReg,0.7012341969525213,0.2320909232502264
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,18,GBT,0.7178737759324765,0.30823741977521735
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,18,SVM,0.638158583609901,0.22380842710045268
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,18,FFN,0.6713102701029332,0.23719670449604047
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,18,XGB,0.7028458004980492,0.28638350819570146
23,cross_domain_attack+conf_gap_change+H_final,3,42,RF,0.7641481946853503,0.3391741584642237
23,cross_domain_attack+conf_gap_change+H_final,3,42,LogReg,0.7442876848905339,0.2692695560698392
23,cross_domain_attack+conf_gap_change+H_final,3,42,GBT,0.7436548801085329,0.32346019184187824
23,cross_domain_attack+conf_gap_change+H_final,3,42,SVM,0.6485884811319467,0.21232546865741092
23,cross_domain_attack+conf_gap_change+H_final,3,42,FFN,0.7049490797015346,0.24657645108948517
23,cross_domain_attack+conf_gap_change+H_final,3,42,XGB,0.7363343758678302,0.3083045932898554
23,cross_domain_attack+conf_gap_change+H_final,3,0,RF,0.7523411500657844,0.303199945118309
23,cross_domain_attack+conf_gap_change+H_final,3,0,LogReg,0.7385651265381936,0.2994092949241386
23,cross_domain_attack+conf_gap_change+H_final,3,0,GBT,0.7231729469126865,0.24833305837935787
23,cross_domain_attack+conf_gap_change+H_final,3,0,SVM,0.6505096582398922,0.2183597709635391
23,cross_domain_attack+conf_gap_change+H_final,3,0,FFN,0.6476324451303624,0.2113586075046394
23,cross_domain_attack+conf_gap_change+H_final,3,0,XGB,0.6898983415051649,0.23666667761675161
23,cross_domain_attack+conf_gap_change+H_final,3,1,RF,0.7624068433967505,0.3616518665102534
23,cross_domain_attack+conf_gap_change+H_final,3,1,LogReg,0.7519359729032082,0.2799807089567549
23,cross_domain_attack+conf_gap_change+H_final,3,1,GBT,0.7414059192286155,0.33603828631985433
23,cross_domain_attack+conf_gap_change+H_final,3,1,SVM,0.6491029195518468,0.2507856281872573
23,cross_domain_attack+conf_gap_change+H_final,3,1,FFN,0.7160709651866319,0.2668244687827806
23,cross_domain_attack+conf_gap_change+H_final,3,1,XGB,0.7298788565809421,0.30905948013072404
23,cross_domain_attack+conf_gap_change+H_final,3,2,RF,0.7447998470342398,0.3646093134063353
23,cross_domain_attack+conf_gap_change+H_final,3,2,LogReg,0.7027866173169988,0.266947229994872
23,cross_domain_attack+conf_gap_change+H_final,3,2,GBT,0.7248391810868763,0.34472272554591804
23,cross_domain_attack+conf_gap_change+H_final,3,2,SVM,0.6632568049276828,0.24416861654891658
23,cross_domain_attack+conf_gap_change+H_final,3,2,FFN,0.7121330073705823,0.3019980228388971
23,cross_domain_attack+conf_gap_change+H_final,3,2,XGB,0.7205962022607976,0.35724532651183266
23,cross_domain_attack+conf_gap_change+H_final,3,3,RF,0.7695907710657981,0.3442066299419595
23,cross_domain_attack+conf_gap_change+H_final,3,3,LogReg,0.7496369339470174,0.2958824716071135
23,cross_domain_attack+conf_gap_change+H_final,3,3,GBT,0.7480071201919355,0.31203075973502764
23,cross_domain_attack+conf_gap_change+H_final,3,3,SVM,0.6542746190651788,0.19807229506362167
23,cross_domain_attack+conf_gap_change+H_final,3,3,FFN,0.689688924095294,0.22933391968090777
23,cross_domain_attack+conf_gap_change+H_final,3,3,XGB,0.7262140519082023,0.3083514473092117
