T_pct,field,model,delta_mean,delta_std,wins,n_seeds,t_stat,p_paired,p_bh,sig_bh_05,sig_bh_10
20,01,SVM,0.0079,0.0169,15,20,2.101,0.0492,0.1027,0,0
20,01,FFN,-0.0132,0.0346,7,20,-1.698,0.1058,0.1807,0,0
20,03,RF,0.0382,0.0724,11,20,2.362,0.029,0.0663,0,1
20,03,GBT,0.0307,0.0908,13,20,1.513,0.1467,0.22,0,0
20,03,XGB,0.0592,0.0718,16,20,3.686,0.0016,0.0058,1,1
20,03,LogReg,-0.0003,0.064,10,20,-0.023,0.982,0.982,0,0
20,03,SVM,-0.0176,0.0977,7,20,-0.808,0.4294,0.4907,0,0
20,03,FFN,0.0042,0.1335,10,20,0.142,0.8884,0.9073,0,0
20,07,RF,-0.0087,0.0323,8,20,-1.209,0.2416,0.3313,0,0
20,07,GBT,0.0088,0.0421,12,20,0.932,0.3628,0.4354,0,0
20,07,XGB,0.0138,0.0589,12,20,1.047,0.3081,0.3892,0,0
20,07,LogReg,-0.0208,0.0132,0,20,-7.051,0.0,0.0,1,1
20,07,SVM,-0.0451,0.0395,3,20,-5.103,0.0001,0.0004,1,1
20,07,FFN,0.0222,0.0723,12,20,1.376,0.1848,0.2688,0,0
20,08,RF,0.0132,0.0209,13,20,2.816,0.011,0.0294,1,1
20,08,GBT,0.0124,0.0297,13,20,1.872,0.0767,0.1473,0,0
20,08,XGB,0.0537,0.0298,20,20,8.049,0.0,0.0,1,1
20,08,LogReg,-0.008,0.0201,8,20,-1.792,0.089,0.1643,0,0
20,08,SVM,0.0483,0.0303,18,20,7.127,0.0,0.0,1,1
20,08,FFN,0.0098,0.0458,12,20,0.959,0.3497,0.4304,0,0
20,09,RF,-0.023,0.0191,1,20,-5.388,0.0,0.0003,1,1
20,09,GBT,-0.0236,0.0214,2,20,-4.943,0.0001,0.0005,1,1
20,09,XGB,-0.0238,0.0192,3,20,-5.543,0.0,0.0002,1,1
20,09,LogReg,0.0016,0.0135,13,20,0.536,0.598,0.6675,0,0
20,09,SVM,0.0007,0.0231,6,20,0.144,0.8869,0.9073,0,0
20,09,FFN,-0.0405,0.0408,2,20,-4.438,0.0003,0.0014,1,1
20,12,RF,0.0094,0.0317,11,20,1.329,0.1995,0.2817,0,0
20,12,GBT,0.0108,0.0435,11,20,1.11,0.2807,0.3641,0,0
20,12,XGB,0.0293,0.0318,17,20,4.126,0.0006,0.0025,1,1
20,12,LogReg,-0.0114,0.0454,8,20,-1.124,0.2748,0.3641,0,0
20,12,SVM,0.0284,0.0466,14,20,2.723,0.0135,0.0341,1,1
20,12,FFN,0.0694,0.1014,16,20,3.064,0.0064,0.0205,1,1
20,13,RF,0.0236,0.0373,13,20,2.824,0.0108,0.0294,1,1
20,13,GBT,0.0255,0.0502,14,20,2.269,0.0351,0.0766,0,1
20,13,XGB,0.044,0.0505,16,20,3.902,0.001,0.0038,1,1
20,13,LogReg,0.0142,0.0257,13,20,2.47,0.0232,0.0556,0,1
20,13,SVM,0.0162,0.0349,14,20,2.072,0.0521,0.1043,0,0
20,13,FFN,0.0362,0.1031,13,20,1.571,0.1327,0.2079,0,0
20,14,RF,-0.023,0.059,9,20,-1.741,0.0978,0.1739,0,0
20,14,GBT,-0.0529,0.0835,6,20,-2.83,0.0107,0.0294,1,1
20,14,XGB,-0.0062,0.0629,9,20,-0.44,0.665,0.7254,0,0
20,14,LogReg,0.0031,0.0426,10,20,0.325,0.7488,0.7987,0,0
20,14,SVM,0.0107,0.054,10,20,0.887,0.3864,0.4524,0,0
20,14,FFN,0.0538,0.1538,10,20,1.564,0.1342,0.2079,0,0
